dataelement,shortname,code,dataelementuid,dataelementdesc
"OVC_BCERT (N, DSD_NARRATIVE): Birth Certificate","OVC_BCERT (N, DSD_NARRATIVE)",OVC_BCERT_N_DSD_NARRATIVE,RmmxvxMXWzM,"Number of active beneficiaries who have a birth certificate ."
"OVC_CP (N, DSD_NARRATIVE): Harsh Punishment Appropriate","OVC_CP (N, DSD_NARRATIVE)",OVC_CP_N_DSD_NARRATIVE,HiRYqh288cm,"Number of caregivers of active beneficiaries who agree that harsh punishment is an appropriate means of discipline or control in the home or school"
"OVC_HIVST (N, DSD_NARRATIVE): Caregiver Knows Status","OVC_HIVST (N, DSD_NARRATIVE)",OVC_HIVST_N_DSD_NARRATIVE,EoqJB8sDhpD,"Number of active beneficiaries <15 years of age whose primary caregiver knows the child’s HIV status."
"OVC_MONEY (N, DSD_NARRATIVE): Access for Needs","OVC_MONEY (N, DSD_NARRATIVE)",OVC_MONEY_N_DSD_NARRATIVE,IM6OvisjBjF,"Number of active beneficiary households able to access money to meet important family needs ."
"OVC_NUT (N, DSD_NARRATIVE): <5 Below Intl Growth Standards","OVC_NUT (N, DSD_NARRATIVE)",OVC_NUT_N_DSD_NARRATIVE,nDfCjAkKhl4,"Number of active beneficiaries <5 years of age with physical growth below international growth standards"
"OVC_PRGS (N, DSD_NARRATIVE): 5-17 Progressed in School","OVC_PRGS (N, DSD_NARRATIVE)",OVC_PRGS_N_DSD_NARRATIVE,MoTPi6wtp98,"Number of active beneficiaries aged 5-17 years of age who progressed in school during the  last year."
"OVC_SCHATT (N, DSD_NARRATIVE): 5-17 Attending School","OVC_SCHATT (N, DSD_NARRATIVE)",OVC_SCHATT_N_DSD_NARRATIVE,ZvZawiqn7cd,"Number of active beneficiaries aged 5-17 years of age regularly attending school"
"OVC_SICK (N, DSD_NARRATIVE): Too Sick to Participate Daily","OVC_SICK (N, DSD_NARRATIVE)",OVC_SICK_N_DSD_NARRATIVE,e6N1xDzsph4,"Number of active beneficiaries who are too sick to participate in daily activities."
"OVC_STIM (N, DSD_NARRATIVE): <5 Stimulating Activity","OVC_STIM (N, DSD_NARRATIVE)",OVC_STIM_N_DSD_NARRATIVE,XPUKOKEXLoY,"Number of active beneficiaries <5 years who have engaged in stimulating activities with any household member over 15 years of age during the last 3 days, as reported by an adult."
"HRH_CURR (N, NoApp, CadreOU/FinancialSupport): Health Workers","HRH_CURR (N, NoApp, CadreOU/FinancialSprt)",HRH_CURR_N_NoApp_CadreOU_FinancialSprt,jIKOdMub2lN,"Total number of health care workers working in HIV service delivery at PEPFAR-supported clinical facility sites. Total will auto-calculate from the Cadre Disaggregates."
"HRH_PRE (N, NoApp, Grad Cadre): Graduates by Cadre","HRH_PRE (N, NoApp, Grad Cadre)",HRH_PRE_N_NoApp_Grad_Cadre,Q7dzwYIVj9C,"Number of new health workers who graduated from a pre-service training institution or program as a result of PEPFAR-supported strengthening efforts, within the reporting period, by select cadre. Numerator will auto-calculate from the Cadre Disaggregates."
"INVS_COMD (N, NoApp, HIVCommodityDollars) v2: HIV Commodities purchased in last 12 months","INVS_COMD (N, NoApp, HIVCommodityDollars) v2",INVS_COMD_N_NoApp_HIVCommodityDollars_v2,fo3BvqCpffb,"Number of HIV program related commodities purchased in the last 12 months"
"INVS_COMD (N, NoApp, HIVCommodity) v2: HIV Commodities purchased in last 12 months","INVS_COMD (N, NoApp, HIVCommodity) v2",INVS_COMD_N_NoApp_HIVCommodity_v2,M8tP2Hcydte,"Number of HIV program related commodities purchased in the last 12 months"
"OVC_BCERT (D, DSD): Active Beneficiaries","OVC_BCERT (D, DSD)",OVC_BCERT_D_DSD,rHn3ezlhOlj,"Number of active beneficiaries surveyed."
"OVC_BCERT (D, DSD, Age/Sex): Active Beneficiaries","OVC_BCERT (D, DSD, Age/Sex)",OVC_BCERT_D_DSD_Age_Sex,uRwxQ0Kh0In,"Number of active beneficiaries surveyed"
"OVC_BCERT (N, DSD, Age/Sex): Birth Certificate","OVC_BCERT (N, DSD, Age/Sex)",OVC_BCERT_N_DSD_Age_Sex,gDLaiyWSp5X,"Number of active beneficiaries who have a birth certificate ."
"OVC_BCERT (N, DSD): Birth Certificate","OVC_BCERT (N, DSD)",OVC_BCERT_N_DSD,sAwURTYBakw,"Number of active beneficiaries who have a birth certificate ."
"OVC_CP (D, DSD): Active Beneficiaries","OVC_CP (D, DSD)",OVC_CP_D_DSD,Fddal6MuPlk,"Number of active beneficiaries"
"OVC_CP (D, DSD, Age/Sex): Active Beneficiaries","OVC_CP (D, DSD, Age/Sex)",OVC_CP_D_DSD_Age_Sex,Lw2ZoYWyc3L,"Number of active beneficiaries"
"OVC_CP (N, DSD, Age/Sex): Harsh Punishment Appropriate","OVC_CP (N, DSD, Age/Sex)",OVC_CP_N_DSD_Age_Sex,Ueix6GBtCjL,"Number of caregivers of active beneficiaries who agree that harsh punishment is an appropriate means of discipline or control in the home or school"
"OVC_CP (N, DSD): Harsh Punishment Appropriate","OVC_CP (N, DSD)",OVC_CP_N_DSD,RDaUastLwgA,"Number of caregivers of active beneficiaries who agree that harsh punishment is an appropriate means of discipline or control in the home or school"
"OVC_HIVST (D, DSD): Active Beneficiaries","OVC_HIVST (D, DSD)",OVC_HIVST_D_DSD,wlYJmcr8rBq,"Number of active beneficiaries surveyed"
"OVC_HIVST (D, DSD, Age/Sex): Active Beneficiaries","OVC_HIVST (D, DSD, Age/Sex)",OVC_HIVST_D_DSD_Age_Sex,aTq7NkBFgXu,"Number of active beneficiaries surveyed"
"OVC_HIVST (N, DSD, Age/Sex): Caregiver Knows Status","OVC_HIVST (N, DSD, Age/Sex)",OVC_HIVST_N_DSD_Age_Sex,vZHPmAVUSUE,"Number of active beneficiaries <15 years of age whose primary caregiver knows the child’s HIV status."
"OVC_HIVST (N, DSD): Caregiver Knows Status","OVC_HIVST (N, DSD)",OVC_HIVST_N_DSD,uWdLNZCaEGy,"Number of active beneficiaries <15 years of age whose primary caregiver knows the child’s HIV status."
"OVC_MONEY (D, DSD, GeoLocation): Min One Active Beneficiary","OVC_MONEY (D, DSD, GeoLocation)",OVC_MONEY_D_DSD_GeoLocation,vESj234ajur,"Number of households surveyed that contain at least one active beneficiary"
"OVC_MONEY (D, DSD): Min One Active Beneficiary","OVC_MONEY (D, DSD)",OVC_MONEY_D_DSD,H9xQZFdqaXo,"Number of households surveyed that contain at least one active beneficiary"
"OVC_MONEY (N, DSD): Access for Needs","OVC_MONEY (N, DSD)",OVC_MONEY_N_DSD,ty2pi7CGsAm,"Number of active beneficiary households able to access money to meet important family needs ."
"OVC_MONEY (N, DSD, GeoLocation): Access for Needs","OVC_MONEY (N, DSD, GeoLocation)",OVC_MONEY_N_DSD_GeoLocation,eXd0m4CMaPG,"Number of active beneficiary households able to access money to meet important family needs ."
"OVC_NUT (D, DSD): Active Beneficiaries <5","OVC_NUT (D, DSD)",OVC_NUT_D_DSD,PtL6ioSTg6c,"Number of active beneficiaries <5 years of age surveyed."
"OVC_NUT (D, DSD, Age/Sex): Active Beneficiaries <5","OVC_NUT (D, DSD, Age/Sex)",OVC_NUT_D_DSD_Age_Sex,Ma0jCnn6ur9,"Number of active beneficiaries <5 years of age with physical growth below international growth standards"
"OVC_NUT (N, DSD): <5 Below Intl Growth Standards","OVC_NUT (N, DSD)",OVC_NUT_N_DSD,QAsFYjS4bYq,"Number of active beneficiaries <5 years of age with physical growth below international growth standards"
"OVC_NUT (N, DSD, Age/Sex): <5 Below Intl Growth Standards","OVC_NUT (N, DSD, Age/Sex)",OVC_NUT_N_DSD_Age_Sex,OuCykf8auWG,"Number of active beneficiaries <5 years of age with physical growth below international growth standards"
"OVC_PRGS (D, DSD, Age/Sex): Beneficiaries enrolled in School","OVC_PRGS (D, DSD, Age/Sex)",OVC_PRGS_D_DSD_Age_Sex,epGit97XBJL,"Number of active beneficiaries surveyed who were enrolled in school during the previous year."
"OVC_PRGS (D, DSD): Beneficiaries enrolled in School","OVC_PRGS (D, DSD)",OVC_PRGS_D_DSD,RT3uUP1AqA5,"Number of active beneficiaries surveyed who were enrolled in school during the previous year."
"OVC_PRGS (N, DSD): 5-17 Progressed in School","OVC_PRGS (N, DSD)",OVC_PRGS_N_DSD,XCUcTHJjJod,"Number of active beneficiaries aged 5-17 years of age who progressed in school during the  last year."
"OVC_PRGS (N, DSD, Age/Sex): 5-17 Progressed in School","OVC_PRGS (N, DSD, Age/Sex)",OVC_PRGS_N_DSD_Age_Sex,AKtIFO0KPGC,"Number of active beneficiaries aged 5-17 years of age who progressed in school during the  last year."
"OVC_SCHATT (D, DSD): Active Beneficiaries","OVC_SCHATT (D, DSD)",OVC_SCHATT_D_DSD,D4VAV7ZGMME,"Number of active beneficiaries aged 5-17 years surveyed."
"OVC_SCHATT (D, DSD, Age/Sex): Active Beneficiaries","OVC_SCHATT (D, DSD, Age/Sex)",OVC_SCHATT_D_DSD_Age_Sex,SUfsAK7I4x9,"Number of active beneficiaries aged 5-17 years surveyed."
"OVC_SCHATT (N, DSD): 5-17 Attending School","OVC_SCHATT (N, DSD)",OVC_SCHATT_N_DSD,Jgl1RMYEDXg,"Number of active beneficiaries aged 5-17 years of age regularly attending school"
"OVC_SCHATT (N, DSD, Age/Sex): 5-17 Attending School","OVC_SCHATT (N, DSD, Age/Sex)",OVC_SCHATT_N_DSD_Age_Sex,oM0pYood8hQ,"Number of active beneficiaries aged 5-17 years of age regularly attending school"
"OVC_SICK (D, DSD): Active Beneficiaries","OVC_SICK (D, DSD)",OVC_SICK_D_DSD,KFAXe5p0XYo,"Number of active beneficiaries surveyed"
"OVC_SICK (D, DSD, Age/Sex): Active Beneficiaries","OVC_SICK (D, DSD, Age/Sex)",OVC_SICK_D_DSD_Age_Sex,cRByveaQxcH,"Number of active beneficiaries surveyed"
"OVC_SICK (N, DSD, Age/Sex): Too Sick to Participate Daily","OVC_SICK (N, DSD, Age/Sex)",OVC_SICK_N_DSD_Age_Sex,OJtuaMqMSqk,"Number of active beneficiaries who are too sick to participate in daily activities."
"OVC_SICK (N, DSD): Too Sick to Participate Daily","OVC_SICK (N, DSD)",OVC_SICK_N_DSD,GS3ecF1Ycmp,"Number of active beneficiaries who are too sick to participate in daily activities."
"OVC_STIM (D, DSD): Active Beneficiaries","OVC_STIM (D, DSD)",OVC_STIM_D_DSD,IdTE8XkYk7a,"Number of active beneficiaries <5"
"OVC_STIM (D, DSD, Age/Sex): Active Beneficiaries","OVC_STIM (D, DSD, Age/Sex)",OVC_STIM_D_DSD_Age_Sex,h90jrsnSBWu,"Number of active beneficiaries <5"
"OVC_STIM (N, DSD): <5 Stimulating Activity","OVC_STIM (N, DSD)",OVC_STIM_N_DSD,Acm7xjr8IS6,"Number of active beneficiaries <5 years who have engaged in stimulating activities with any household member over 15 years of age during the last 3 days, as reported by an adult."
"OVC_STIM (N, DSD, Age/Sex): <5 Stimulating Activity","OVC_STIM (N, DSD, Age/Sex)",OVC_STIM_N_DSD_Age_Sex,AXPAGbaCjzO,"Number of active beneficiaries <5 years who have engaged in stimulating activities with any household member over 15 years of age during the last 3 days, as reported by an adult."
"GEND_GBV (N, DSD, Age/Sex/ViolenceType) TARGET: GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType) TARGET",GEND_GBV_N_DSD_Age_Sex_ViolenceType_TARGET,cCdmgyX9nbb,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, DSD, PEP) TARGET: GBV Care","GEND_GBV_PEP (N, DSD) TARGET",GEND_GBV_PEP_N_DSD_TARGET,XuW49NlpcLC,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, DSD) TARGET: GBV Care","GEND_GBV (N, DSD) TARGET",GEND_GBV_N_DSD_TARGET,YpXUnecwj4Z,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, DSD, ViolenceServiceType) TARGET v2: GBV Care","GEND_GBV (N, DSD, ViolenceServiceType) TARGET v2",GEND_GBV_N_DSD_ViolenceServiceType_TARGET_v2,N4sS65QUOP3,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, TA, Age/Sex/ViolenceType) TARGET: GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType) TARGET",GEND_GBV_N_TA_Age_Sex_ViolenceType_TARGET,Ajyuzu9iEqH,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, TA, PEP) TARGET: GBV Care","GEND_GBV_PEP (N, TA) TARGET",GEND_GBV_PEP_N_TA_TARGET,nijNm0qHCRm,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, TA) TARGET: GBV Care","GEND_GBV (N, TA) TARGET",GEND_GBV_N_TA_TARGET,ZDktRhoNoTD,"Number of people receiving post-GBV clinical care based on the minimum package"
"GEND_GBV (N, TA, ViolenceServiceType) TARGET v2: GBV Care","GEND_GBV (N, TA, ViolenceServiceType) TARGET v2",GEND_GBV_N_TA_ViolenceServiceType_TARGET_v2,XUtNKyPozHq,"Number of people receiving post-GBV clinical care based on the minimum package"
"HTS_TST (N, DSD, HomeMod/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, HmMod/Age>10/Sex/Result) TARGET",HTC_TST_N_DSD_HmMod_Agegt10_Sex_Result_TARGET,ugjvwtftGgk,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, HomeMod/AgeLessThanTen/Result) TARGET: HTS received results","HTS_TST (N, DSD, HmMod/Age<10/Result) TARGET",HTC_TST_N_DSD_HmMod_Agelt10_Result_TARGET,nemPXRK9gbA,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, HomeMod/Aggregated Age/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, HmMod/Agg Age/Sex/Result) TARGET",HTC_TST_N_DSD_HmMod_Agg_Age_Sex_Result_TARGET,YKULMnpTMYI,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, IndexMod/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, NdxMod/Age>10/Sex/Result) TARGET",HTC_TST_N_DSD_NdxMod_Agegt10_Sex_Result_TARGET,t0szphd0Vaz,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, IndexMod/AgeLessThanTen/Result) TARGET: HTS received results","HTS_TST (N, DSD, NdxMod/Age<10/Result) TARGET",HTC_TST_N_DSD_NdxMod_Agelt10_Result_TARGET,SvyJBf9nLYv,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, IndexMod/Aggregated Age/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, NdxMod/Agg Age/Sex/Result) TARGET",HTC_TST_N_DSD_NdxMod_Agg_Age_Sex_Result_TARGET,yn13VHrNOVe,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, KeyPop/Result) TARGET: HTS received results","HTS_TST (N, DSD, KeyPop/Result) TARGET",HTC_TST_N_DSD_KeyPop_Result_TARGET,ef1o9r1kDIH,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, MobileMod/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, MbMod/Age>10/Sex/Result) TARGET",HTC_TST_N_DSD_MbMod_Agegt10_Sex_Result_TARGET,j7pdUcvvOxx,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, MobileMod/AgeLessThanTen/Result) TARGET: HTS received results","HTS_TST (N, DSD, MbMod/Age<10/Result) TARGET",HTC_TST_N_DSD_MbMod_Agelt10_Result_TARGET,yAxjXprNB4r,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, MobileMod/Aggregated Age/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, MbMod/Agg Age/Sex/Result) TARGET",HTC_TST_N_DSD_MbMod_Agg_Age_Sex_Result_TARGET,QIGxJFj0eZk,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, OtherMod/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, OtrMod/Age>10/Sex/Result) TARGET",HTC_TST_N_DSD_OtrMod_Agegt10_Sex_Result_TARGET,yxNxs3Um0R0,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, OtherMod/AgeLessThanTen/Result) TARGET: HTS received results","HTS_TST (N, DSD, OtrMod/Age<10/Result) TARGET",HTC_TST_N_DSD_OtrMod_Agelt10_Result_TARGET,ERTvFPkluJl,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, OtherMod/Aggregated Age/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, OtrMod/Agg Age/Sex/Result) TARGET",HTC_TST_N_DSD_OtrMod_Agg_Age_Sex_Result_TARGET,tUnnLpaLitw,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, Positive) TARGET: HTS received results","HTS_TST (N, DSD, Positive) TARGET",HTC_TST_N_DSD_Positive_TARGET,PWZnRdapkLM,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD) TARGET: HTS received results","HTS_TST (N, DSD) TARGET",HTC_TST_N_DSD_TARGET,NUdcIMK4Peq,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VCTMod/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, VCTMod/Age>10/Sex/Result) TARGET",HTC_TST_N_DSD_VCTMod_Agegt10_Sex_Result_TARGET,qjFAIrUEh16,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VCTMod/AgeLessThanTen/Result) TARGET: HTS received results","HTS_TST (N, DSD, VCTMod/Age<10/Result) TARGET",HTC_TST_N_DSD_VCTMod_Agelt10_Result_TARGET,hg8jlzy5m8b,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VCTMod/Aggregated Age/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, VCTMod/Agg Age/Sex/Result) TARGET",HTC_TST_N_DSD_VCTMod_Agg_Age_Sex_Result_TARGET,SV1AugKAo8V,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, HomeMod/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, TA, HmMod/Age>10/Sex/Result) TARGET",HTC_TST_N_TA_HmMod_Agegt10_Sex_Result_TARGET,q5giXRQp4Vi,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, HomeMod/AgeLessThanTen/Result) TARGET: HTS received results","HTS_TST (N, TA, HmMod/Age<10/Result) TARGET",HTC_TST_N_TA_HmMod_Agelt10_Result_TARGET,VAcyv2ZUgM7,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, HomeMod/Aggregated Age/Sex/Result) TARGET: HTS received results","HTS_TST (N, TA, HmMod/Agg Age/Sex/Result) TARGET",HTC_TST_N_TA_HmMod_Agg_Age_Sex_Result_TARGET,ehKUlpZ6o2C,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, IndexMod/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, TA, NdxMod/Age>10/Sex/Result) TARGET",HTC_TST_N_TA_NdxMod_Agegt10_Sex_Result_TARGET,tMPd5TLfrFv,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, IndexMod/AgeLessThanTen/Result) TARGET: HTS received results","HTS_TST (N, TA, NdxMod/Age<10/Result) TARGET",HTC_TST_N_TA_NdxMod_Agelt10_Result_TARGET,SAxCexYrC8K,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, IndexMod/Aggregated Age/Sex/Result) TARGET: HTS received results","HTS_TST (N, TA, NdxMod/Agg Age/Sex/Result) TARGET",HTC_TST_N_TA_NdxMod_Agg_Age_Sex_Result_TARGET,z9bwOH6TFqY,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, KeyPop/Result) TARGET: HTS received results","HTS_TST (N, TA, KeyPop/Result) TARGET",HTC_TST_N_TA_KeyPop_Result_TARGET,MA4lEpgzAxS,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, MobileMod/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, TA, MbMod/Age>10/Sex/Result) TARGET",HTC_TST_N_TA_MbMod_Agegt10_Sex_Result_TARGET,fJT9bAd6pxX,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, MobileMod/AgeLessThanTen/Result) TARGET: HTS received results","HTS_TST (N, TA, MbMod/Age<10/Result) TARGET",HTC_TST_N_TA_MbMod_Agelt10_Result_TARGET,byOQFfCNJIN,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, MobileMod/Aggregated Age/Sex/Result) TARGET: HTS received results","HTS_TST (N, TA, MbMod/Agg Age/Sex/Result) TARGET",HTC_TST_N_TA_MbMod_Agg_Age_Sex_Result_TARGET,ULfEIbnmWpN,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, OtherMod/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, TA, OtrMod/Age>10/Sex/Result) TARGET",HTC_TST_N_TA_OtrMod_Agegt10_Sex_Result_TARGET,uo1cQOvpWiC,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, OtherMod/AgeLessThanTen/Result) TARGET: HTS received results","HTS_TST (N, TA, OtrMod/Age<10/Result) TARGET",HTC_TST_N_TA_OtrMod_Agelt10_Result_TARGET,qzp09DksQwh,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, OtherMod/Aggregated Age/Sex/Result) TARGET: HTS received results","HTS_TST (N, TA, OtrMod/Agg Age/Sex/Result) TARGET",HTC_TST_N_TA_OtrMod_Agg_Age_Sex_Result_TARGET,j76BoKnpyha,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, Positive) TARGET: HTS received results","HTS_TST (N, TA, Positive) TARGET",HTC_TST_N_TA_Positive_TARGET,JaGKiwVMfzn,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA) TARGET: HTS received results","HTS_TST (N, TA) TARGET",HTC_TST_N_TA_TARGET,zmAsEta7AiO,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VCTMod/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, TA, VCTMod/Age>10/Sex/Result) TARGET",HTC_TST_N_TA_VCTMod_Agegt10_Sex_Result_TARGET,ljoZhkWOvx1,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VCTMod/AgeLessThanTen/Result) TARGET: HTS received results","HTS_TST (N, TA, VCTMod/Age<10/Result) TARGET",HTC_TST_N_TA_VCTMod_Agelt10_Result_TARGET,zAYQHl4NLjt,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VCTMod/Aggregated Age/Sex/Result) TARGET: HTS received results","HTS_TST (N, TA, VCTMod/Agg Age/Sex/Result) TARGET",HTC_TST_N_TA_VCTMod_Agg_Age_Sex_Result_TARGET,LoodFwJ5loR,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"KP_PREV (N, DSD, KeyPop) TARGET v2: Key Pop Preventive","KP_PREV (N, DSD, Keypop2017) TARGET",KP_PREV_N_DSD_Keypop2017_TARGET,wDWUutgeEX8,"Number of key populations reached with individual and/or small group level HIV prevention interventions designed for the target population."
"KP_PREV (N, TA, KeyPop) TARGET v2: Key Pop Preventive","KP_PREV (N, TA, Keypop2017) TARGET",KP_PREV_N_TA_Keypop2017_TARGET,VRgwEePUvdD,"Number of key populations reached with individual and/or small group level HIV prevention interventions designed for the target population."
"OVC_SERV (N, DSD, AgeAboveTen/Sex) TARGET: Beneficiaries Served","OVC_SERV (N, DSD, Age>10/Sex) TARGET",OVC_SERV_N_DSD_Agegt10_Sex_TARGET,QcmuEH1YSo2,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, DSD, AgeLessThanTen) TARGET: Beneficiaries Served","OVC_SERV (N, DSD, Age<10) TARGET",OVC_SERV_N_DSD_Agelt10_TARGET,O0dhGgrjlx8,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, DSD, Age/Sex/Service) TARGET v2: Beneficiaries Served","OVC_SERV (N, DSD, Age/Sex/Service) TARGET v2",OVC_SERV_N_DSD_Age_Sex_Service_TARGET_v2,ztEFaaT0rwQ,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, DSD, ProgramStatus) TARGET: Beneficiaries Served","OVC_SERV (N, DSD, ProgramStatus) TARGET",OVC_SERV_N_DSD_ProgramStatus_TARGET,ILotdeJJnXQ,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, TA, AgeAboveTen/Sex) TARGET: Beneficiaries Served","OVC_SERV (N, TA, Age>10/Sex) TARGET",OVC_SERV_N_TA_Agegt10_Sex_TARGET,ZFeKwBhRvYl,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, TA, AgeLessThanTen) TARGET: Beneficiaries Served","OVC_SERV (N, TA, Age<10) TARGET",OVC_SERV_N_TA_Agelt10_TARGET,N6E3zF2cVoF,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, TA, Age/Sex/Service) TARGET v2: Beneficiaries Served","OVC_SERV (N, TA, Age/Sex/Service) TARGET v2",OVC_SERV_N_TA_Age_Sex_Service_TARGET_v2,vl9FuwQrPmQ,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, TA, ProgramStatus) TARGET: Beneficiaries Served","OVC_SERV (N, TA, ProgramStatus) TARGET",OVC_SERV_N_TA_ProgramStatus_TARGET,vYPx0abTdQi,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"PP_PREV (N, DSD, Age/Sex) TARGET: HIV Prevention Program","PP_PREV (N, DSD, Age/Sex) TARGET",PP_PREV_N_DSD_Age_Sex_TARGET,aAcv9P7LZiw,"Number of the target population who completed a standardized HIV prevention program that are based on evidence and meet the minimum standards required."
"PP_PREV (N, DSD) TARGET: HIV Prevention Program","PP_PREV (N, DSD) TARGET",PP_PREV_N_DSD_TARGET,YXGmBb9bkkS,"Number of the target population who completed a standardized HIV prevention program that are based on evidence and meet the minimum standards required."
"PP_PREV (N, TA, Age/Sex) TARGET: HIV Prevention Program","PP_PREV (N, TA, Age/Sex) TARGET",PP_PREV_N_TA_Age_Sex_TARGET,lVzvacxyYJk,"Number of the target population who completed a standardized HIV prevention program that are based on evidence and meet the minimum standards required."
"PP_PREV (N, TA) TARGET: HIV Prevention Program","PP_PREV (N, TA) TARGET",PP_PREV_N_TA_TARGET,QyN3UskZlqk,"Number of the target population who completed a standardized HIV prevention program that are based on evidence and meet the minimum standards required."
"HTS_TST (N, DSD, Index/AgeAboveTen/Sex/Result) TARGET: HTS received results","HTS_TST (N, DSD, Index/Age>10/Sex/Result) TARGET",HTC_TST_N_DSD_Index_Agegt10_Sex_Result_TARGET,PU5tSenf5W5,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
