dataelement,shortname,code,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid
"TX_CURR (N, TA, AgeAboveTen/Sex): Receiving ART","TX_CURR (N, TA, Age>10/Sex)",TX_CURR_N_TA_Agegt10_Sex,tALOAlpbmui,"Number of adults and children currently receiving antiretroviral therapy (ART)","15-19, Male",pmbYMHQPJhO,pmbYMHQPJhO
"TX_CURR (N, TA, AgeAboveTen/Sex): Receiving ART","TX_CURR (N, TA, Age>10/Sex)",TX_CURR_N_TA_Agegt10_Sex,tALOAlpbmui,"Number of adults and children currently receiving antiretroviral therapy (ART)","20-24, Female",iJbM0XmXcy3,iJbM0XmXcy3
"TX_CURR (N, TA, AgeAboveTen/Sex): Receiving ART","TX_CURR (N, TA, Age>10/Sex)",TX_CURR_N_TA_Agegt10_Sex,tALOAlpbmui,"Number of adults and children currently receiving antiretroviral therapy (ART)","20-24, Male",ImeDNDMtA1B,ImeDNDMtA1B
"TX_CURR (N, TA, AgeAboveTen/Sex): Receiving ART","TX_CURR (N, TA, Age>10/Sex)",TX_CURR_N_TA_Agegt10_Sex,tALOAlpbmui,"Number of adults and children currently receiving antiretroviral therapy (ART)","25-49, Female",MD7ummNwSpv,MD7ummNwSpv
"TX_CURR (N, TA, AgeAboveTen/Sex): Receiving ART","TX_CURR (N, TA, Age>10/Sex)",TX_CURR_N_TA_Agegt10_Sex,tALOAlpbmui,"Number of adults and children currently receiving antiretroviral therapy (ART)","25-49, Male",yw9GUXoArfi,yw9GUXoArfi
"TX_CURR (N, TA, AgeAboveTen/Sex): Receiving ART","TX_CURR (N, TA, Age>10/Sex)",TX_CURR_N_TA_Agegt10_Sex,tALOAlpbmui,"Number of adults and children currently receiving antiretroviral therapy (ART)","50+, Female",PUlS4Wg9doJ,PUlS4Wg9doJ
"TX_CURR (N, TA, AgeAboveTen/Sex): Receiving ART","TX_CURR (N, TA, Age>10/Sex)",TX_CURR_N_TA_Agegt10_Sex,tALOAlpbmui,"Number of adults and children currently receiving antiretroviral therapy (ART)","50+, Male",fwEHTUwtNsS,fwEHTUwtNsS
"TX_CURR (N, TA, AgeLessThanTen): Receiving ART","TX_CURR (N, TA, Age<10)",TX_CURR_N_TA_Agelt10,qMoN7vn85cC,"Number of adults and children currently receiving antiretroviral therapy (ART)",(<1),VJv5d95PH8J,VJv5d95PH8J
"TX_CURR (N, TA, AgeLessThanTen): Receiving ART","TX_CURR (N, TA, Age<10)",TX_CURR_N_TA_Agelt10,qMoN7vn85cC,"Number of adults and children currently receiving antiretroviral therapy (ART)",(1-9),IVBFAjELiBr,IVBFAjELiBr
"TX_CURR (N, TA, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) v2",TX_CURR_N_TA_Aggregated_Age_Sex_v2,Gbnh3cRgxYz,"Number of adults and children currently receiving antiretroviral therapy (ART)","<15, Female",BGFCDhyk4M8,BGFCDhyk4M8
"TX_CURR (N, TA, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) v2",TX_CURR_N_TA_Aggregated_Age_Sex_v2,Gbnh3cRgxYz,"Number of adults and children currently receiving antiretroviral therapy (ART)","15+, Female",er95aeLbIHg,er95aeLbIHg
"TX_CURR (N, TA, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) v2",TX_CURR_N_TA_Aggregated_Age_Sex_v2,Gbnh3cRgxYz,"Number of adults and children currently receiving antiretroviral therapy (ART)","<15, Male",SBUMYkq3pEs,SBUMYkq3pEs
"TX_CURR (N, TA, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) v2",TX_CURR_N_TA_Aggregated_Age_Sex_v2,Gbnh3cRgxYz,"Number of adults and children currently receiving antiretroviral therapy (ART)","15+, Male",RFKoE51NKAq,RFKoE51NKAq
"TX_CURR (N, TA, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) v2",TX_CURR_N_TA_Aggregated_Age_Sex_v2,Gbnh3cRgxYz,"Number of adults and children currently receiving antiretroviral therapy (ART)","<15, Unknown Sex",DOE1p3gdXIr,DOE1p3gdXIr
"TX_CURR (N, TA, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) v2",TX_CURR_N_TA_Aggregated_Age_Sex_v2,Gbnh3cRgxYz,"Number of adults and children currently receiving antiretroviral therapy (ART)","15+, Unknown Sex",EnFWVKd0OVk,EnFWVKd0OVk
"TX_CURR (N, TA, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) v2",TX_CURR_N_TA_Aggregated_Age_Sex_v2,Gbnh3cRgxYz,"Number of adults and children currently receiving antiretroviral therapy (ART)","Unknown Age, Female",Na0IrYFjVsM,Na0IrYFjVsM
"TX_CURR (N, TA, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) v2",TX_CURR_N_TA_Aggregated_Age_Sex_v2,Gbnh3cRgxYz,"Number of adults and children currently receiving antiretroviral therapy (ART)","Unknown Age, Male",iQArB1Jys2K,iQArB1Jys2K
"TX_CURR (N, TA, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) v2",TX_CURR_N_TA_Aggregated_Age_Sex_v2,Gbnh3cRgxYz,"Number of adults and children currently receiving antiretroviral therapy (ART)","Unknown Age, Unknown Sex",sZtIQvBYLEV,sZtIQvBYLEV
"TX_CURR (N, TA): Receiving ART","TX_CURR (N, TA)",TX_CURR_N_TA,YTRBA6EORhs,"Number of adults and children currently receiving antiretroviral therapy (ART)",default,HllvX50cXC0,HllvX50cXC0
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","10-14, Female",vJVGpyDiQIE,vJVGpyDiQIE
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","10-14, Male",PTd25Dw3w1C,PTd25Dw3w1C
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","15-19, Female",NMio44QoXa2,NMio44QoXa2
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","15-19, Male",pmbYMHQPJhO,pmbYMHQPJhO
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","20-24, Female",iJbM0XmXcy3,iJbM0XmXcy3
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","20-24, Male",ImeDNDMtA1B,ImeDNDMtA1B
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","25-49, Female",MD7ummNwSpv,MD7ummNwSpv
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","25-49, Male",yw9GUXoArfi,yw9GUXoArfi
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","50+, Female",PUlS4Wg9doJ,PUlS4Wg9doJ
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","50+, Male",fwEHTUwtNsS,fwEHTUwtNsS
"TX_NEW (N, DSD, AgeLessThanTen): New on ART","TX_NEW (N, DSD, Age<10)",TX_NEW_N_DSD_Agelt10,FGNN9F5GzJt,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",(<1),VJv5d95PH8J,VJv5d95PH8J
"TX_NEW (N, DSD, AgeLessThanTen): New on ART","TX_NEW (N, DSD, Age<10)",TX_NEW_N_DSD_Agelt10,FGNN9F5GzJt,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",(1-9),IVBFAjELiBr,IVBFAjELiBr
"TX_NEW (N, DSD, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) v2",TX_NEW_N_DSD_Aggregated_Age_Sex_v2,PAbk059KEmk,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","<15, Female",BGFCDhyk4M8,BGFCDhyk4M8
"TX_NEW (N, DSD, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) v2",TX_NEW_N_DSD_Aggregated_Age_Sex_v2,PAbk059KEmk,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","15+, Female",er95aeLbIHg,er95aeLbIHg
"TX_NEW (N, DSD, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) v2",TX_NEW_N_DSD_Aggregated_Age_Sex_v2,PAbk059KEmk,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","<15, Male",SBUMYkq3pEs,SBUMYkq3pEs
"TX_NEW (N, DSD, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) v2",TX_NEW_N_DSD_Aggregated_Age_Sex_v2,PAbk059KEmk,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","15+, Male",RFKoE51NKAq,RFKoE51NKAq
"TX_NEW (N, DSD, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) v2",TX_NEW_N_DSD_Aggregated_Age_Sex_v2,PAbk059KEmk,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","<15, Unknown Sex",DOE1p3gdXIr,DOE1p3gdXIr
"TX_NEW (N, DSD, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) v2",TX_NEW_N_DSD_Aggregated_Age_Sex_v2,PAbk059KEmk,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","15+, Unknown Sex",EnFWVKd0OVk,EnFWVKd0OVk
"TX_NEW (N, DSD, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) v2",TX_NEW_N_DSD_Aggregated_Age_Sex_v2,PAbk059KEmk,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","Unknown Age, Female",Na0IrYFjVsM,Na0IrYFjVsM
"TX_NEW (N, DSD, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) v2",TX_NEW_N_DSD_Aggregated_Age_Sex_v2,PAbk059KEmk,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","Unknown Age, Male",iQArB1Jys2K,iQArB1Jys2K
"TX_NEW (N, DSD, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) v2",TX_NEW_N_DSD_Aggregated_Age_Sex_v2,PAbk059KEmk,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","Unknown Age, Unknown Sex",sZtIQvBYLEV,sZtIQvBYLEV
"TX_NEW (N, DSD, KeyPop): New on ART","TX_NEW (N, DSD, KeyPop)",TX_NEW_N_DSD_KeyPop,Mef7rkxkw1f,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",FSW,hvgp9xnuUrx,hvgp9xnuUrx
"TX_NEW (N, DSD, KeyPop): New on ART","TX_NEW (N, DSD, KeyPop)",TX_NEW_N_DSD_KeyPop,Mef7rkxkw1f,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",MSM,X5WOZxTBU2j,X5WOZxTBU2j
"TX_NEW (N, DSD, KeyPop): New on ART","TX_NEW (N, DSD, KeyPop)",TX_NEW_N_DSD_KeyPop,Mef7rkxkw1f,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","People in prisons and other enclosed settings",etnBr84tFtJ,etnBr84tFtJ
"TX_NEW (N, DSD, KeyPop): New on ART","TX_NEW (N, DSD, KeyPop)",TX_NEW_N_DSD_KeyPop,Mef7rkxkw1f,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",PWID,mkXXjV42FM9,mkXXjV42FM9
"TX_NEW (N, DSD, KeyPop): New on ART","TX_NEW (N, DSD, KeyPop)",TX_NEW_N_DSD_KeyPop,Mef7rkxkw1f,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",TG,EoZ7f4rkx2g,EoZ7f4rkx2g
"TX_NEW (N, DSD): New on ART","TX_NEW (N, DSD)",TX_NEW_N_DSD,tG7ocyZ8kVA,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",default,HllvX50cXC0,HllvX50cXC0
"TX_NEW (N, DSD, Preg/Feeding): New on ART","TX_NEW (N, DSD, Preg/Feeding)",TX_NEW_N_DSD_Preg_Feeding,QI0LrOAmBCG,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",Breastfeeding,jaxEUorPKgv,jaxEUorPKgv
"TX_NEW (N, DSD, Preg/Feeding): New on ART","TX_NEW (N, DSD, Preg/Feeding)",TX_NEW_N_DSD_Preg_Feeding,QI0LrOAmBCG,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",Pregnant,vxBSF1mguas,vxBSF1mguas
"TX_NEW (N, DSD, TB Diagnosis): New on ART","TX_NEW (N, DSD, TB Diagnosis)",TX_NEW_N_DSD_TB_Diagnosis,J72ojOG6yvt,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",default,HllvX50cXC0,HllvX50cXC0
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","10-14, Female",vJVGpyDiQIE,vJVGpyDiQIE
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","10-14, Male",PTd25Dw3w1C,PTd25Dw3w1C
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","15-19, Female",NMio44QoXa2,NMio44QoXa2
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","15-19, Male",pmbYMHQPJhO,pmbYMHQPJhO
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","20-24, Female",iJbM0XmXcy3,iJbM0XmXcy3
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","20-24, Male",ImeDNDMtA1B,ImeDNDMtA1B
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","25-49, Female",MD7ummNwSpv,MD7ummNwSpv
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","25-49, Male",yw9GUXoArfi,yw9GUXoArfi
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","50+, Female",PUlS4Wg9doJ,PUlS4Wg9doJ
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","50+, Male",fwEHTUwtNsS,fwEHTUwtNsS
"TX_NEW (N, TA, AgeLessThanTen): New on ART","TX_NEW (N, TA, Age<10)",TX_NEW_N_TA_Agelt10,U9PvBnpPbNP,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",(<1),VJv5d95PH8J,VJv5d95PH8J
"TX_NEW (N, TA, AgeLessThanTen): New on ART","TX_NEW (N, TA, Age<10)",TX_NEW_N_TA_Agelt10,U9PvBnpPbNP,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",(1-9),IVBFAjELiBr,IVBFAjELiBr
"TX_NEW (N, TA, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) v2",TX_NEW_N_TA_Aggregated_Age_Sex_v2,NCFa1461aJJ,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","<15, Female",BGFCDhyk4M8,BGFCDhyk4M8
"TX_NEW (N, TA, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) v2",TX_NEW_N_TA_Aggregated_Age_Sex_v2,NCFa1461aJJ,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","15+, Female",er95aeLbIHg,er95aeLbIHg
"TX_NEW (N, TA, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) v2",TX_NEW_N_TA_Aggregated_Age_Sex_v2,NCFa1461aJJ,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","<15, Male",SBUMYkq3pEs,SBUMYkq3pEs
"TX_NEW (N, TA, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) v2",TX_NEW_N_TA_Aggregated_Age_Sex_v2,NCFa1461aJJ,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","15+, Male",RFKoE51NKAq,RFKoE51NKAq
"TX_NEW (N, TA, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) v2",TX_NEW_N_TA_Aggregated_Age_Sex_v2,NCFa1461aJJ,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","<15, Unknown Sex",DOE1p3gdXIr,DOE1p3gdXIr
"TX_NEW (N, TA, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) v2",TX_NEW_N_TA_Aggregated_Age_Sex_v2,NCFa1461aJJ,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","15+, Unknown Sex",EnFWVKd0OVk,EnFWVKd0OVk
"TX_NEW (N, TA, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) v2",TX_NEW_N_TA_Aggregated_Age_Sex_v2,NCFa1461aJJ,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","Unknown Age, Female",Na0IrYFjVsM,Na0IrYFjVsM
"TX_NEW (N, TA, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) v2",TX_NEW_N_TA_Aggregated_Age_Sex_v2,NCFa1461aJJ,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","Unknown Age, Male",iQArB1Jys2K,iQArB1Jys2K
"TX_NEW (N, TA, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) v2",TX_NEW_N_TA_Aggregated_Age_Sex_v2,NCFa1461aJJ,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","Unknown Age, Unknown Sex",sZtIQvBYLEV,sZtIQvBYLEV
"TX_NEW (N, TA, KeyPop): New on ART","TX_NEW (N, TA, KeyPop)",TX_NEW_N_TA_KeyPop,VNJeucGzUZ7,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",FSW,hvgp9xnuUrx,hvgp9xnuUrx
"TX_NEW (N, TA, KeyPop): New on ART","TX_NEW (N, TA, KeyPop)",TX_NEW_N_TA_KeyPop,VNJeucGzUZ7,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",MSM,X5WOZxTBU2j,X5WOZxTBU2j
"TX_NEW (N, TA, KeyPop): New on ART","TX_NEW (N, TA, KeyPop)",TX_NEW_N_TA_KeyPop,VNJeucGzUZ7,"Number of adults and children newly enrolled on antiretroviral therapy (ART)","People in prisons and other enclosed settings",etnBr84tFtJ,etnBr84tFtJ
"TX_NEW (N, TA, KeyPop): New on ART","TX_NEW (N, TA, KeyPop)",TX_NEW_N_TA_KeyPop,VNJeucGzUZ7,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",PWID,mkXXjV42FM9,mkXXjV42FM9
"TX_NEW (N, TA, KeyPop): New on ART","TX_NEW (N, TA, KeyPop)",TX_NEW_N_TA_KeyPop,VNJeucGzUZ7,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",TG,EoZ7f4rkx2g,EoZ7f4rkx2g
"TX_NEW (N, TA): New on ART","TX_NEW (N, TA)",TX_NEW_N_TA,cdm1DK9jE9w,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",default,HllvX50cXC0,HllvX50cXC0
"TX_NEW (N, TA, Preg/Feeding): New on ART","TX_NEW (N, TA, Preg/Feeding)",TX_NEW_N_TA_Preg_Feeding,JiEYm4EWwtR,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",Breastfeeding,jaxEUorPKgv,jaxEUorPKgv
"TX_NEW (N, TA, Preg/Feeding): New on ART","TX_NEW (N, TA, Preg/Feeding)",TX_NEW_N_TA_Preg_Feeding,JiEYm4EWwtR,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",Pregnant,vxBSF1mguas,vxBSF1mguas
"TX_NEW (N, TA, TB Diagnosis): New on ART","TX_NEW (N, TA, TB Diagnosis)",TX_NEW_N_TA_TB_Diagnosis,OPckUeESSr2,"Number of adults and children newly enrolled on antiretroviral therapy (ART)",default,HllvX50cXC0,HllvX50cXC0
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","10-14, Female, Routine",QNxaBarphSE,QNxaBarphSE
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","10-14, Female, Targeted",pcZ9NtdQE89,pcZ9NtdQE89
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","10-14, Female, Undocumented Test Indication",EtTITD6tt0U,EtTITD6tt0U
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","10-14, Male, Routine",rNZkot4feXw,rNZkot4feXw
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","10-14, Male, Targeted",agrisV1rmEx,agrisV1rmEx
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","10-14, Male, Undocumented Test Indication",TDj0AustTSC,TDj0AustTSC
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","15-19, Female, Routine",pPQOM0W0Jdx,pPQOM0W0Jdx
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","15-19, Female, Targeted",SkYehCYGfoe,SkYehCYGfoe
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","15-19, Female, Undocumented Test Indication",NtXgJhGjp1x,NtXgJhGjp1x
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","15-19, Male, Routine",qgZWXVISZ7G,qgZWXVISZ7G
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","15-19, Male, Targeted",plZakhxaYb4,plZakhxaYb4
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months.","15-19, Male, Undocumented Test Indication",K2zsGRbwM3Q,K2zsGRbwM3Q
